t_s,phase,gnss_x_m,gnss_y_m,gnss_speed,gnss_bearing_deg,gyro_heading_deg,heading_err_deg,imu_accel_speed,imu_accel_speed_err,last_speed,last_speed_err,ml_speed,ml_speed_err,imu_x_m,imu_y_m,imu_pos_err_m,last_x_m,last_y_m,last_pos_err_m,ml_x_m,ml_y_m,ml_pos_err_m,ml_correction_vs_imu_m
10.6900,CALIB,0.1175,0.5269,0.0000,1.1313,314.7605,-46.3708,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1175,0.5269,0.0000,0.1175,0.5269,0.0000,0.1175,0.5269,0.0000,0.0000
10.7900,CALIB,0.1219,0.5308,0.0000,1.1313,314.7415,-46.3899,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1219,0.5308,0.0000,0.1219,0.5308,0.0000,0.1219,0.5308,0.0000,0.0000
10.8900,CALIB,0.1262,0.5346,0.0000,1.1313,314.7191,-46.4123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1262,0.5346,0.0000,0.1262,0.5346,0.0000,0.1262,0.5346,0.0000,0.0000
10.9900,CALIB,0.1303,0.5387,0.0000,1.1313,314.7258,-46.4055,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1303,0.5387,0.0000,0.1303,0.5387,0.0000,0.1303,0.5387,0.0000,0.0000
11.0900,CALIB,0.1342,0.5431,0.0000,1.1313,314.7382,-46.3931,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1342,0.5431,0.0000,0.1342,0.5431,0.0000,0.1342,0.5431,0.0000,0.0000
11.1900,CALIB,0.1375,0.5479,0.0000,1.1313,314.7259,-46.4055,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1375,0.5479,0.0000,0.1375,0.5479,0.0000,0.1375,0.5479,0.0000,0.0000
11.2900,CALIB,0.1405,0.5533,0.0000,1.1313,314.6968,-46.4345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1405,0.5533,0.0000,0.1405,0.5533,0.0000,0.1405,0.5533,0.0000,0.0000
11.3900,CALIB,0.1436,0.5591,0.0000,1.1313,314.6666,-46.4647,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1436,0.5591,0.0000,0.1436,0.5591,0.0000,0.1436,0.5591,0.0000,0.0000
11.4900,CALIB,0.1467,0.5653,0.0000,1.1313,314.6707,-46.4606,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1467,0.5653,0.0000,0.1467,0.5653,0.0000,0.1467,0.5653,0.0000,0.0000
11.5900,CALIB,0.1498,0.5717,0.0000,1.1313,314.7118,-46.4196,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1498,0.5717,0.0000,0.1498,0.5717,0.0000,0.1498,0.5717,0.0000,0.0000
11.6900,CALIB,0.1527,0.5783,0.0000,1.1313,314.7839,-46.3475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1527,0.5783,0.0000,0.1527,0.5783,0.0000,0.1527,0.5783,0.0000,0.0000
11.7900,CALIB,0.1554,0.5849,0.0000,1.1313,314.8401,-46.2912,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1554,0.5849,0.0000,0.1554,0.5849,0.0000,0.1554,0.5849,0.0000,0.0000
11.8900,CALIB,0.1578,0.5914,0.0000,1.1313,314.8382,-46.2931,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1578,0.5914,0.0000,0.1578,0.5914,0.0000,0.1578,0.5914,0.0000,0.0000
11.9900,CALIB,0.1598,0.5977,0.0000,1.1313,314.8913,-46.2400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1598,0.5977,0.0000,0.1598,0.5977,0.0000,0.1598,0.5977,0.0000,0.0000
